### BEGIN ps -ef###

UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  1 18:37 ?        00:00:02 /sbin/init auto noprompt
root           2       0  0 18:37 ?        00:00:00 [kthreadd]
root           3       2  0 18:37 ?        00:00:00 [rcu_gp]
root           4       2  0 18:37 ?        00:00:00 [rcu_par_gp]
root           5       2  0 18:37 ?        00:00:00 [netns]
root           6       2  0 18:37 ?        00:00:00 [kworker/0:0-cgroup_destroy]
root           7       2  0 18:37 ?        00:00:00 [kworker/0:0H-events_highpri]
root           8       2  0 18:37 ?        00:00:00 [kworker/u256:0-events_unbound]
root           9       2  0 18:37 ?        00:00:00 [kworker/0:1H-events_highpri]
root          10       2  0 18:37 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 18:37 ?        00:00:00 [rcu_tasks_rude_]
root          12       2  0 18:37 ?        00:00:00 [rcu_tasks_trace]
root          13       2  0 18:37 ?        00:00:00 [ksoftirqd/0]
root          14       2  0 18:37 ?        00:00:00 [rcu_sched]
root          15       2  0 18:37 ?        00:00:00 [migration/0]
root          16       2  0 18:37 ?        00:00:00 [idle_inject/0]
root          17       2  0 18:37 ?        00:00:00 [kworker/0:1-events]
root          18       2  0 18:37 ?        00:00:00 [cpuhp/0]
root          19       2  0 18:37 ?        00:00:00 [cpuhp/1]
root          20       2  0 18:37 ?        00:00:00 [idle_inject/1]
root          21       2  0 18:37 ?        00:00:00 [migration/1]
root          22       2  0 18:37 ?        00:00:00 [ksoftirqd/1]
root          23       2  0 18:37 ?        00:00:00 [kworker/1:0-events]
root          24       2  0 18:37 ?        00:00:00 [kworker/1:0H-events_highpri]
root          25       2  0 18:37 ?        00:00:00 [kdevtmpfs]
root          26       2  0 18:37 ?        00:00:00 [inet_frag_wq]
root          27       2  0 18:37 ?        00:00:00 [kauditd]
root          28       2  0 18:37 ?        00:00:00 [kworker/0:2-cgroup_destroy]
root          29       2  0 18:37 ?        00:00:00 [khungtaskd]
root          30       2  0 18:37 ?        00:00:00 [oom_reaper]
root          31       2  0 18:37 ?        00:00:00 [writeback]
root          32       2  0 18:37 ?        00:00:00 [kcompactd0]
root          33       2  0 18:37 ?        00:00:00 [ksmd]
root          34       2  0 18:37 ?        00:00:00 [khugepaged]
root          39       2  0 18:37 ?        00:00:00 [kworker/1:1-events]
root          81       2  0 18:37 ?        00:00:00 [kintegrityd]
root          82       2  0 18:37 ?        00:00:00 [kblockd]
root          83       2  0 18:37 ?        00:00:00 [blkcg_punt_bio]
root          84       2  0 18:37 ?        00:00:00 [tpm_dev_wq]
root          85       2  0 18:37 ?        00:00:00 [ata_sff]
root          86       2  0 18:37 ?        00:00:00 [md]
root          87       2  0 18:37 ?        00:00:00 [edac-poller]
root          88       2  0 18:37 ?        00:00:00 [devfreq_wq]
root          89       2  0 18:37 ?        00:00:00 [watchdogd]
root          90       2  0 18:37 ?        00:00:00 [kworker/u256:1-events_unbound]
root          92       2  0 18:37 ?        00:00:00 [kswapd0]
root          93       2  0 18:37 ?        00:00:00 [ecryptfs-kthrea]
root          95       2  0 18:37 ?        00:00:00 [kthrotld]
root          96       2  0 18:37 ?        00:00:00 [irq/24-pciehp]
root          97       2  0 18:37 ?        00:00:00 [irq/25-pciehp]
root          98       2  0 18:37 ?        00:00:00 [irq/26-pciehp]
root          99       2  0 18:37 ?        00:00:00 [irq/27-pciehp]
root         100       2  0 18:37 ?        00:00:00 [irq/28-pciehp]
root         101       2  0 18:37 ?        00:00:00 [irq/29-pciehp]
root         102       2  0 18:37 ?        00:00:00 [irq/30-pciehp]
root         103       2  0 18:37 ?        00:00:00 [irq/31-pciehp]
root         104       2  0 18:37 ?        00:00:00 [irq/32-pciehp]
root         105       2  0 18:37 ?        00:00:00 [irq/33-pciehp]
root         106       2  0 18:37 ?        00:00:00 [irq/34-pciehp]
